exp_id,model_name,timestamp,training_time_seconds,f1_score_weighted,accuracy,f1_score_yes,f1_score_no,learning_rate,batch_size,num_epochs
exp001,google/electra-base-discriminator,2025-12-09 13:47:32,181.51,0.7565124117165968,0.7594202898550725,0.7025089605734767,0.7980535279805353,1e-05,16,10
exp002,google/electra-base-discriminator,2025-12-09 13:51:58,265.76,0.7675032144387829,0.7710144927536232,0.7127272727272728,0.8096385542168675,1e-05,16,15
exp003,google/electra-base-discriminator,2025-12-09 13:55:11,192.99,0.7725773307376163,0.7739130434782608,0.7291666666666666,0.8059701492537313,1e-05,32,10
exp004,google/electra-base-discriminator,2025-12-09 13:59:54,282.87,0.7580458644868391,0.7623188405797101,0.6985294117647058,0.8038277511961722,1e-05,32,15
exp005,google/electra-base-discriminator,2025-12-09 14:02:53,179.27,0.7997064423992384,0.8028985507246377,0.7518248175182481,0.8365384615384616,2e-05,16,10
exp006,google/electra-base-discriminator,2025-12-09 14:07:16,262.32,0.8006665656718679,0.8028985507246377,0.7571428571428571,0.8341463414634146,2e-05,16,15
exp007,google/electra-base-discriminator,2025-12-09 14:10:28,192.06,0.7603330406603073,0.7652173913043478,0.6988847583643123,0.8076009501187649,2e-05,32,10
exp008,google/electra-base-discriminator,2025-12-09 14:15:10,282.02,0.7796366936591844,0.782608695652174,0.7292418772563177,0.8184019370460048,2e-05,32,15
exp009,google/electra-base-discriminator,2025-12-09 14:18:09,178.99,0.7961394302848576,0.7971014492753623,0.7586206896551724,0.825,3e-05,16,10
exp010,google/electra-base-discriminator,2025-12-09 14:22:31,262.22,0.7997064423992384,0.8028985507246377,0.7518248175182481,0.8365384615384616,3e-05,16,15
exp011,google/electra-base-discriminator,2025-12-09 14:25:42,191.31,0.7778454836967835,0.7797101449275362,0.7323943661971831,0.812807881773399,3e-05,32,10
exp012,google/electra-base-discriminator,2025-12-09 14:30:23,281.04,0.7675032144387829,0.7710144927536232,0.7127272727272728,0.8096385542168675,3e-05,32,15
exp013,google/electra-base-discriminator,2025-12-09 14:33:22,179.01,0.7793399225754113,0.7797101449275362,0.7432432432432432,0.8071065989847716,5e-05,16,10
exp014,google/electra-base-discriminator,2025-12-09 14:37:44,262.25,0.7547811637351025,0.7565217391304347,0.7062937062937062,0.7920792079207921,5e-05,16,15
exp015,google/electra-base-discriminator,2025-12-09 14:40:59,194.78,0.7784086812315236,0.7797101449275362,0.7361111111111112,0.8109452736318408,5e-05,32,10
exp016,google/electra-base-discriminator,2025-12-09 14:45:40,281.13,0.7706364209199749,0.7739130434782608,0.717391304347826,0.8115942028985508,5e-05,32,15
